Year,Canada,US,Total
1993,24.26412092,26.56404137,50.82816229
1994,8.966809422,16.83752677,25.80433619
1995,9.727947238,13.1079967,22.83594394
1996,2.649930265,6.322640632,8.972570897
1997,1.256398325,5.793392275,7.0497906
1998,4.144620811,19.31216931,23.45679012
1999,1.94102277,14.10974244,16.05076521
2000,4.851673243,12.08417361,16.93584685
2001,8.010164623,17.12517954,25.13534416
2002,17.2406032,16.27804036,33.51864356
2003,23.59477124,40.09346405,63.68823529
2004,16.25638644,43.06247097,59.31885741
2005,19.89327997,33.31699183,53.2102718
2006,14.7858473,38.62346369,53.40931099
2007,8.331880774,37.68537563,46.01725641
2008,6.404822455,39.90731845,46.31214091
2009,10.67594668,33.43163855,44.10758523
2010,11.62129216,42.1808208,53.80211296
2011,7.537566651,45.49402165,53.0315883
2012,12.9262814,59.67051256,72.59679396
2013,10.46784348,55.10751759,65.57536107
2014,6.874298541,64.34502432,71.21932286
2015,3.720880069,55.94051984,59.66139991
2016,10.56831923,45.1356711,55.70399033
2017,10.15235457,41.62063712,51.77299169
2018,7.978205877,47.97489784,55.95310372
2019,2.299128751,40.41686834,42.7159971
2020,0.644871026,31.00659868,31.65146971
2021,2.278599953,36.66138125,38.93998121
